Item Number,Quantity,Value,Description,Part Number,Part Reference,Manufacturer Name,Manufacturer Part Number,ID,SKU,ALT_MPN,ALT_MFR
1,1,1Meg,,,C1,,,352,,,
2,1,10n,,,C2,,,348,,,
3,1,BZX84-C2V7,,,D1,,,3,,,
4,1,D1N4148,,,D2,,,57,,,
5,1,D1N4148,,,D3,,,277,,,
6,1,1Meg,,,L1,,,339,,,
7,1,QBC846B,,,Q3,,,33,,,
8,1,QBC846B,,,Q4,,,37,,,
9,1,QBC846B,,,Q5,,,65,,,
10,1,QBC817-25,,,Q8,,,267,,,
11,1,QBC846B,,,Q9,,,281,,,
12,1,QBC817-25,,,Q10,,,304,,,
13,1,QBC856B,,,Q11,,,318,,,
14,1,QBC856B,,,Q12,,,322,,,
15,1,QBC846B,,,Q13,,,370,,,
16,1,QBC807-25,,,Q14,,,413,,,
17,1,QBC807-25,,,Q15,,,417,,,
18,1,75,,,R1,,,15,,,
19,1,1k,,,R3,,,42,,,
20,1,1k,,,R4,,,45,,,
21,1,1k,,,R6,,,60,,,
22,1,1.8k,,,R9,,,95,,,
23,1,2.7k,,,R10,,,98,,,
24,1,10K,,,R11,,,255,,,
25,1,220,,,R12,,,273,,,
26,1,1.5,,,R13,,,286,,,
27,1,10K,,,R14,,,293,,,
28,1,1k,,,R15,,,327,,,
29,1,200,,,RL,,,103,,,
